,favorite_rate,retweet_rate,favourites_count,followers_count,friends_count,listed_count,statuses_count,verified,number_of_intersections,score,screen_name
0,-0.28320724,-0.262927782,-0.411171715,-0.215782431,-0.163977392,-0.219043778,-0.617898652,0,-0.473172443,-0.509347032,rania_rony91
1,-0.127963572,-0.100475725,-0.408640984,-0.215723985,-0.175932833,-0.213248011,-0.164853838,0,-0.614753842,-0.620682689,itsthestylehive
2,-0.299276259,-0.164806447,-0.415775815,-0.215722997,-0.162586213,-0.218968508,-0.085264249,0,-0.614753842,-0.620682689,dessiinatalia
3,-0.298319038,-0.289144867,-0.41473913,-0.215642104,-0.143761828,-0.21332328,-0.550813983,0,-0.614753842,-0.620682689,brookeburnett
4,0.380948144,0.111907488,-0.367722426,-0.215622058,-0.144457417,-0.217011496,-0.600810161,0,-0.614753842,-0.620682689,ab1n0rmal
5,-0.329101258,-0.289144867,-0.399219349,-0.215614152,-0.082245649,-0.217990002,0.204840508,0,-0.614753842,-0.620682689,daphpunkdlp
6,0.120220832,0.044340368,0.194526618,-0.212786153,-0.152326271,-0.212645853,-0.244560955,0,-0.331591044,-0.35824864,emilyanngemma
7,-0.321087913,-0.28307085,-0.359185022,-0.212277786,-0.162977482,-0.208882368,-0.061594221,1,-0.048428245,-0.167387513,fozaza
8,-0.311927104,-0.281703588,-0.400713395,0.452232408,-0.174063436,0.256359681,-0.516566485,1,1.084222948,1.136830189,giseleofficial
9,-0.19628517,-0.202370461,-0.282714273,3.884538577,-0.172715732,1.124219384,-0.396500442,1,-0.048428245,-0.183292607,kendalljenner
