question,worker,answer
430,0,1
780,0,2
147,0,0
297,0,1
87,0,2
834,0,2
306,0,2
290,0,0
686,0,3
819,0,2
394,0,2
543,0,2
501,0,3
730,0,2
633,0,3
373,0,3
852,0,1
942,0,0
252,0,1
879,0,0
189,0,1
95,0,2
421,0,0
399,0,2
230,0,3
813,0,1
704,0,2
954,0,1
516,0,3
174,0,1
709,0,1
351,0,1
741,0,0
900,0,2
693,0,1
995,0,3
255,0,3
996,0,0
214,0,1
462,0,1
956,0,2
786,0,2
975,0,3
780,1,2
387,1,1
482,1,1
789,1,0
180,1,0
879,1,1
74,1,0
284,1,1
90,1,0
741,1,0
900,1,2
460,1,1
255,1,1
39,1,0
322,1,2
510,1,1
429,1,2
992,1,1
9,1,1
963,1,2
108,1,2
60,1,2
690,1,2
831,1,2
986,1,1
33,1,1
467,1,0
204,1,2
673,1,0
243,1,1
305,1,2
133,1,0
183,1,2
930,1,2
2,1,2
918,1,2
470,1,0
165,1,0
915,1,2
186,1,1
561,1,1
609,2,2
996,2,0
899,2,1
312,2,1
432,2,1
527,3,0
297,3,1
711,3,0
654,3,0
727,3,2
82,3,0
507,3,1
576,3,4
141,3,1
327,3,1
789,3,0
479,3,0
819,3,0
978,3,0
633,3,1
876,3,0
912,3,0
415,3,0
169,3,2
213,3,2
800,3,4
121,3,1
225,3,0
858,3,2
465,3,0
648,3,0
880,3,0
636,3,0
732,3,0
924,3,0
537,3,0
143,3,1
135,3,0
388,3,2
158,3,4
708,3,0
234,3,0
403,3,0
492,3,0
822,3,0
176,3,0
372,3,0
227,3,1
894,3,0
630,3,1
249,3,0
477,3,4
528,3,1
48,3,0
612,3,0
152,3,4
807,3,4
489,3,0
380,3,0
981,3,0
918,3,2
570,3,1
561,3,0
279,3,0
933,3,3
678,3,2
153,3,0
872,3,4
42,3,2
508,3,2
927,3,2
148,3,0
783,3,1
810,3,2
780,4,2
131,4,1
978,4,0
825,4,1
180,4,0
516,4,3
741,4,0
4,4,2
875,4,2
744,4,1
114,4,1
855,4,0
274,4,1
537,4,1
474,4,2
135,4,0
219,4,2
369,4,2
273,4,2
843,4,3
822,4,3
495,4,1
630,4,1
288,4,2
162,4,3
183,4,0
606,4,2
946,4,0
929,4,1
807,4,2
390,4,3
165,4,0
870,4,0
159,4,2
338,4,2
283,4,3
672,4,2
534,4,2
44,4,2
81,5,1
989,5,0
97,5,2
155,5,1
252,5,3
105,5,2
351,5,3
648,5,0
698,5,2
114,5,0
429,5,2
644,5,0
474,5,2
246,5,3
396,5,1
20,5,2
659,5,2
25,5,1
150,5,3
346,5,2
642,5,1
949,5,1
615,5,2
969,5,1
356,5,1
815,5,1
414,5,0
567,6,0
15,6,3
764,6,3
234,6,2
13,6,1
564,6,0
372,6,3
756,6,2
75,6,0
898,6,0
888,6,1
445,6,3
414,6,0
205,6,2
862,6,2
699,7,3
711,7,3
507,7,1
15,7,3
651,7,3
278,7,2
966,7,1
912,7,0
177,7,1
180,7,0
601,7,0
816,7,2
897,7,2
90,7,3
483,7,3
91,7,0
722,7,3
858,7,3
984,7,2
317,7,1
714,7,3
258,7,2
336,7,3
873,7,1
941,7,3
385,7,2
951,7,2
366,7,3
444,7,0
504,7,1
585,7,2
934,7,3
103,7,3
315,7,3
564,7,0
525,7,1
156,7,2
107,7,0
63,7,0
240,7,1
423,7,2
539,7,2
612,7,3
12,7,3
341,7,2
939,7,0
921,7,3
999,7,2
84,7,2
43,7,3
916,7,2
299,7,3
321,7,2
861,7,1
339,7,3
546,8,0
855,8,1
937,8,0
903,8,3
721,8,0
960,8,3
696,8,0
387,9,4
567,9,1
147,9,4
57,9,0
588,9,0
834,9,3
507,9,2
959,9,4
885,9,2
726,9,0
747,9,2
405,9,2
291,9,2
543,9,2
633,9,1
852,9,2
876,9,1
81,9,0
332,9,2
206,9,3
357,9,1
675,9,2
553,9,0
457,9,1
342,9,0
813,9,2
294,9,0
393,9,1
90,9,4
351,9,0
741,9,2
233,9,3
900,9,0
552,9,2
858,9,2
462,9,0
975,9,3
498,9,2
318,9,0
990,9,2
360,9,2
222,9,2
892,9,2
618,9,2
21,9,2
890,9,2
684,9,2
413,9,2
840,9,2
102,9,1
246,9,0
207,9,4
688,9,2
781,9,3
519,9,0
804,9,2
99,9,1
444,9,4
276,9,2
931,9,4
955,9,0
292,9,4
369,9,2
30,9,3
585,9,4
261,9,0
234,9,0
936,9,2
330,9,0
767,9,4
809,9,1
957,9,2
204,9,1
149,9,0
495,9,0
639,9,0
765,9,2
208,9,2
894,9,0
420,9,0
199,9,0
150,9,0
573,9,0
247,9,4
568,9,3
972,9,3
126,9,4
115,9,3
288,9,0
182,9,2
363,9,1
528,9,0
61,9,4
837,9,0
888,9,2
948,9,2
603,9,0
731,9,0
333,9,4
606,9,0
759,9,0
835,9,4
670,9,2
594,9,1
777,9,1
738,9,4
312,9,3
960,9,1
930,9,0
555,9,3
489,9,3
645,9,3
657,9,1
999,9,0
915,9,1
561,9,2
549,9,2
416,9,2
279,9,1
281,9,2
159,9,2
678,9,3
153,9,4
480,9,4
144,9,1
271,9,4
846,9,0
810,9,0
701,9,2
627,9,2
958,9,4
599,9,2
339,9,0
900,10,2
255,10,3
462,10,1
456,10,2
411,10,1
786,10,2
34,10,2
525,10,0
735,10,1
639,10,2
729,10,2
130,10,3
324,10,1
408,10,0
549,10,1
627,10,3
87,11,2
245,11,0
616,11,2
204,11,0
849,11,0
969,11,0
211,11,1
780,12,2
633,12,3
304,12,3
617,12,1
630,12,1
837,12,1
921,12,3
999,12,3
909,12,0
157,13,1
404,13,3
405,13,1
966,13,2
852,13,3
213,13,2
879,13,3
816,13,2
294,13,0
523,13,2
516,13,3
580,13,1
310,13,2
255,13,3
769,13,3
636,13,4
138,13,2
258,13,1
618,13,2
102,13,1
303,13,0
497,13,0
343,13,0
587,13,2
795,13,1
219,13,1
99,13,1
345,13,3
354,13,0
33,13,3
234,13,2
168,13,4
666,13,0
257,13,1
729,13,2
663,13,2
423,13,2
48,13,2
309,13,1
0,13,1
981,13,2
390,13,3
999,13,2
