question,worker,answer
430,0,1
780,0,2
854,0,0
446,0,2
387,0,1
620,0,1
856,0,2
600,0,2
567,0,1
166,0,2
147,0,0
699,0,1
193,0,3
14,0,2
131,0,1
967,0,0
944,0,1
127,0,0
419,0,1
527,0,2
340,0,1
952,0,2
841,0,3
559,0,2
297,0,1
471,0,2
711,0,3
536,0,3
473,0,2
57,0,3
540,0,0
482,0,1
860,0,1
654,0,0
76,0,0
961,0,2
727,0,1
87,0,2
710,0,2
359,0,1
676,0,0
588,0,2
544,0,1
376,0,1
200,0,2
893,0,2
77,0,3
785,0,1
836,0,1
377,0,1
535,0,3
437,0,1
481,0,1
82,0,2
677,0,2
320,0,2
834,0,2
737,0,0
507,0,1
977,0,2
306,0,2
757,0,1
98,0,3
245,0,3
576,0,1
295,0,1
959,0,0
141,0,2
595,0,2
327,0,1
789,0,1
290,0,0
784,0,2
885,0,1
15,0,2
142,0,3
686,0,3
58,0,0
847,0,1
236,0,1
406,0,0
157,0,1
132,0,0
726,0,3
256,0,0
178,0,2
874,0,1
106,0,0
871,0,2
865,0,1
715,0,2
548,0,2
554,0,0
747,0,2
404,0,1
589,0,1
638,0,3
229,0,1
985,0,0
19,0,2
479,0,0
819,0,2
705,0,1
945,0,2
352,0,1
394,0,2
405,0,1
743,0,2
604,0,1
291,0,1
651,0,3
37,0,2
543,0,2
501,0,3
278,0,3
978,0,0
730,0,2
682,0,2
201,0,2
633,0,3
703,0,3
542,0,1
578,0,0
382,0,2
966,0,0
878,0,1
319,0,1
17,0,2
373,0,3
825,0,1
323,0,3
611,0,0
852,0,1
364,0,2
876,0,3
750,0,0
192,0,2
308,0,3
827,0,0
81,0,3
911,0,1
332,0,0
616,0,1
217,0,1
389,0,2
10,0,0
582,0,1
605,0,2
912,0,0
415,0,1
206,0,1
67,0,2
989,0,0
177,0,1
169,0,2
799,0,1
180,0,0
685,0,2
763,0,0
357,0,3
97,0,2
882,0,3
11,0,3
213,0,2
173,0,2
3,0,1
590,0,2
601,0,0
660,0,3
583,0,3
155,0,0
988,0,2
675,0,1
828,0,0
925,0,2
104,0,2
348,0,2
853,0,1
877,0,0
942,0,0
553,0,1
8,0,2
329,0,1
252,0,1
506,0,1
53,0,1
313,0,1
69,0,1
27,0,2
800,0,0
391,0,2
879,0,0
189,0,1
302,0,2
664,0,0
913,0,3
691,0,2
23,0,1
457,0,2
629,0,1
95,0,2
816,0,0
70,0,1
790,0,2
787,0,1
475,0,3
547,0,1
950,0,2
342,0,2
897,0,1
26,0,2
285,0,1
421,0,0
337,0,2
760,0,2
145,0,0
649,0,1
399,0,2
514,0,1
230,0,3
314,0,1
813,0,1
609,0,2
833,0,2
335,0,1
704,0,2
51,0,0
74,0,0
402,0,2
294,0,1
392,0,2
393,0,1
400,0,2
523,0,1
694,0,2
954,0,1
441,0,1
516,0,3
569,0,3
56,0,3
188,0,2
580,0,1
562,0,1
267,0,1
733,0,2
891,0,1
121,0,1
184,0,3
284,0,3
174,0,1
459,0,3
105,0,2
602,0,0
90,0,3
914,0,0
304,0,1
943,0,2
122,0,0
310,0,2
709,0,1
461,0,2
293,0,1
500,0,2
483,0,1
91,0,0
722,0,3
112,0,1
680,0,1
998,0,2
844,0,2
31,0,1
351,0,1
272,0,1
179,0,1
741,0,0
233,0,0
277,0,1
4,0,3
374,0,1
900,0,2
693,0,1
995,0,3
124,0,0
460,0,1
466,0,1
782,0,2
255,0,3
66,0,1
617,0,2
225,0,1
35,0,0
901,0,0
334,0,1
521,0,1
624,0,2
552,0,2
858,0,2
996,0,0
796,0,2
712,0,2
39,0,2
758,0,2
232,0,2
214,0,1
28,0,1
984,0,2
452,0,1
619,0,1
517,0,1
317,0,1
395,0,1
769,0,3
462,0,1
994,0,3
349,0,0
875,0,2
674,0,1
956,0,2
571,0,2
325,0,1
714,0,1
456,0,2
724,0,2
411,0,1
786,0,2
136,0,1
163,0,1
845,0,1
164,0,0
975,0,3
430,1,1
780,1,2
446,1,2
387,1,1
600,1,0
699,1,2
967,1,0
419,1,1
340,1,1
297,1,1
482,1,1
860,1,1
961,1,1
710,1,2
376,1,0
77,1,1
377,1,1
481,1,0
757,1,1
295,1,1
789,1,0
290,1,0
686,1,0
157,1,1
874,1,2
554,1,0
747,1,1
985,1,2
19,1,2
819,1,2
352,1,0
743,1,2
278,1,2
682,1,0
633,1,1
966,1,0
852,1,1
81,1,0
10,1,0
605,1,2
989,1,0
180,1,0
590,1,2
601,1,0
877,1,1
8,1,0
329,1,0
506,1,2
313,1,1
800,1,0
879,1,1
816,1,0
342,1,2
421,1,0
145,1,2
51,1,1
74,1,0
523,1,1
56,1,1
267,1,0
284,1,1
90,1,0
304,1,1
943,1,1
293,1,1
998,1,0
741,1,0
233,1,0
277,1,1
900,1,2
995,1,1
460,1,1
255,1,1
624,1,2
996,1,0
712,1,2
39,1,0
232,1,0
317,1,2
395,1,1
956,1,0
571,1,2
325,1,0
456,1,2
411,1,1
318,1,2
322,1,2
458,1,2
226,1,2
386,1,2
353,1,0
258,1,2
451,1,2
510,1,1
867,1,1
618,1,2
744,1,1
21,1,1
429,1,2
855,1,0
947,1,0
490,1,2
524,1,0
684,1,2
413,1,1
235,1,2
425,1,3
34,1,2
671,1,2
347,1,2
992,1,1
109,1,1
868,1,1
38,1,2
688,1,0
9,1,1
388,1,2
397,1,0
587,1,2
795,1,1
963,1,2
976,1,1
923,1,2
117,1,2
296,1,2
108,1,2
519,1,2
60,1,2
160,1,0
983,1,2
396,1,0
191,1,1
690,1,2
292,1,2
73,1,1
766,1,1
820,1,2
120,1,1
134,1,1
831,1,2
713,1,1
986,1,1
33,1,1
261,1,1
895,1,1
749,1,2
658,1,0
467,1,0
748,1,0
728,1,1
384,1,2
455,1,0
723,1,2
210,1,0
204,1,2
919,1,0
718,1,0
525,1,0
673,1,0
383,1,0
639,1,2
729,1,2
987,1,1
243,1,1
771,1,0
25,1,2
503,1,2
531,1,0
107,1,0
305,1,2
695,1,0
130,1,0
566,1,1
848,1,0
533,1,1
167,1,0
253,1,1
247,1,2
568,1,1
