question,worker,answer
338,0,2
404,0,1
338,1,0
212,2,1
212,2,1
212,3,2
495,3,2
66,3,2
144,3,0
341,3,0
55,3,1
462,3,2
84,3,2
175,3,1
155,3,2
10,3,1
182,3,2
212,4,2
199,4,2
308,4,2
360,4,2
40,4,0
75,4,0
399,4,2
323,4,2
237,4,1
64,4,0
213,4,0
228,4,0
272,4,1
461,4,1
376,5,1
118,5,2
235,5,1
161,5,1
247,5,2
452,5,0
442,5,1
472,5,1
311,5,2
217,5,2
146,5,0
275,5,0
226,5,0
72,5,2
104,5,2
290,5,2
270,5,2
268,5,0
436,5,1
255,5,0
113,5,0
149,5,1
376,6,1
428,6,2
271,6,2
256,6,2
49,6,2
337,6,2
90,6,2
138,6,2
376,7,1
118,7,1
96,7,0
376,8,0
14,8,0
275,8,1
372,8,0
376,9,1
365,9,1
301,9,1
76,9,2
293,9,2
388,9,2
297,9,1
10,9,1
488,9,2
161,10,1
27,10,2
326,10,1
349,10,1
161,11,2
122,11,1
153,11,0
324,11,0
90,11,1
227,11,1
353,11,0
431,11,1
298,11,2
489,11,0
161,12,1
247,12,0
305,12,1
354,12,1
304,12,1
336,12,1
260,12,0
237,12,1
180,12,1
278,12,2
174,12,1
161,13,1
54,13,2
367,13,2
161,14,1
162,14,1
269,14,1
421,14,0
435,14,1
330,14,1
438,14,0
441,14,2
162,15,1
60,15,1
408,15,1
39,15,1
493,15,1
493,15,1
162,16,0
337,16,1
408,16,0
360,16,1
354,16,0
493,16,1
86,16,2
162,17,1
157,17,0
438,17,2
173,17,0
365,17,2
77,17,0
273,17,0
164,17,1
165,17,0
316,17,0
192,18,0
204,18,1
88,18,1
21,18,1
192,19,0
463,19,2
440,19,0
78,19,2
192,20,0
78,20,2
319,20,1
192,21,1
487,21,1
137,22,1
443,22,0
73,22,2
137,23,1
137,24,1
257,24,0
416,24,0
23,24,1
90,24,1
325,24,2
396,24,0
197,24,1
276,24,0
89,24,1
233,24,0
181,24,0
289,24,1
202,24,2
417,24,1
331,24,0
137,25,0
146,25,2
305,25,0
99,25,2
106,25,0
204,26,0
389,26,0
453,26,0
111,26,1
204,27,1
420,27,2
172,27,2
288,27,2
135,27,2
201,27,2
27,28,1
